,Code,rcp,period,season,variable,parameter,value
96,POUL,NA,present,annual,mean,Sbtm,30.1189517974854
97,NRIV,NA,present,annual,mean,Sbtm,28.9897956848145
98,BUCK,NA,present,annual,mean,Sbtm,31.2552623748779
99,PETITE,NA,present,annual,mean,Sbtm,29.5838108062744
100,RIM,NA,present,annual,mean,Sbtm,32.5204582214355
101,SEPT,NA,present,annual,mean,Sbtm,28.5232410430908
102,CH33,NA,present,annual,mean,Sbtm,17.7647190093994
103,CH38,NA,present,annual,mean,Sbtm,14.7634286880493
104,MELM,NA,present,annual,mean,Sbtm,26.4598789215088
105,GreatBay,NA,present,annual,mean,Sbtm,31.4790439605713
106,SUM,NA,present,annual,mean,SSS,26.4638233184814
107,TH,NA,present,annual,mean,SSS,30.1266307830811
108,MASI,NA,present,annual,mean,SSS,30.5408535003662
109,SAC,NA,present,annual,mean,SSS,30.5239315032959
110,PRJ,NA,present,annual,mean,SSS,30.6115055084229
111,HEB,NA,present,annual,mean,SSS,30.6081066131592
112,L3F,NA,present,annual,mean,SSS,30.3476066589355
113,SAM,NA,present,annual,mean,SSS,30.3738651275635
114,MASS,NA,present,annual,mean,SSS,30.1378879547119
115,PORT,NA,present,annual,mean,SSS,30.7578754425049
116,POK,NA,present,annual,mean,SSS,27.9162254333496
117,POUL,NA,present,annual,mean,SSS,29.7513847351074
118,NRIV,NA,present,annual,mean,SSS,28.9372272491455
119,BUCK,NA,present,annual,mean,SSS,31.2504062652588
120,PETITE,NA,present,annual,mean,SSS,29.4916152954102
121,RIM,NA,present,annual,mean,SSS,23.3044528961182
122,SEPT,NA,present,annual,mean,SSS,26.3999290466309
123,CH33,NA,present,annual,mean,SSS,17.5593242645264
124,CH38,NA,present,annual,mean,SSS,14.3661184310913
125,MELM,NA,present,annual,mean,SSS,26.4341888427734
126,GreatBay,NA,present,annual,mean,SSS,30.6190071105957
127,SUM,NA,present,annual,mean,SST,7.99241638183594
128,TH,NA,present,annual,mean,SST,6.83765029907227
129,MASI,NA,present,annual,mean,SST,7.73509311676025
130,SAC,NA,present,annual,mean,SST,7.89549016952515
131,PRJ,NA,present,annual,mean,SST,7.56105613708496
132,HEB,NA,present,annual,mean,SST,7.81221485137939
133,L3F,NA,present,annual,mean,SST,6.93540334701538
134,SAM,NA,present,annual,mean,SST,7.39825773239136
135,MASS,NA,present,annual,mean,SST,9.33912658691406
136,PORT,NA,present,annual,mean,SST,8.03662872314453
137,POK,NA,present,annual,mean,SST,6.32353258132935
138,POUL,NA,present,annual,mean,SST,6.94681835174561
139,NRIV,NA,present,annual,mean,SST,6.93428802490234
140,BUCK,NA,present,annual,mean,SST,5.34978008270264
141,PETITE,NA,present,annual,mean,SST,6.3548698425293
142,RIM,NA,present,annual,mean,SST,5.66121053695679
143,SEPT,NA,present,annual,mean,SST,4.55922937393188
144,CH33,NA,present,annual,mean,SST,3.41016340255737
145,CH38,NA,present,annual,mean,SST,3.71945714950562
146,MELM,NA,present,annual,mean,SST,7.9748330116272
147,GreatBay,NA,present,annual,mean,SST,8.66900730133057
148,SUM,NA,present,annual,mean,Tbtm,8.05014801025391
149,TH,NA,present,annual,mean,Tbtm,5.75844955444336
150,MASI,NA,present,annual,mean,Tbtm,7.66665077209473
151,SAC,NA,present,annual,mean,Tbtm,7.6429123878479
152,PRJ,NA,present,annual,mean,Tbtm,5.4028902053833
153,HEB,NA,present,annual,mean,Tbtm,5.40403938293457
154,L3F,NA,present,annual,mean,Tbtm,5.28619146347046
155,SAM,NA,present,annual,mean,Tbtm,4.12601280212402
156,MASS,NA,present,annual,mean,Tbtm,7.32413625717163
157,PORT,NA,present,annual,mean,Tbtm,7.38054227828979
158,POK,NA,present,annual,mean,Tbtm,6.22597551345825
159,POUL,NA,present,annual,mean,Tbtm,5.14564180374146
160,NRIV,NA,present,annual,mean,Tbtm,6.88904190063477
161,BUCK,NA,present,annual,mean,Tbtm,5.35167694091797
162,PETITE,NA,present,annual,mean,Tbtm,6.05884408950806
163,RIM,NA,present,annual,mean,Tbtm,3.51934313774109
164,SEPT,NA,present,annual,mean,Tbtm,4.198073387146
165,CH33,NA,present,annual,mean,Tbtm,3.48926401138306
166,CH38,NA,present,annual,mean,Tbtm,3.91066431999207
167,MELM,NA,present,annual,mean,Tbtm,8.00229358673096
168,GreatBay,NA,present,annual,mean,Tbtm,5.59332752227783
169,SUM,NA,present,annual,min,Sbtm,25.4763488769531
170,TH,NA,present,annual,min,Sbtm,29.8512020111084
171,MASI,NA,present,annual,min,Sbtm,30.2822875976562
172,SAC,NA,present,annual,min,Sbtm,30.2570381164551
173,PRJ,NA,present,annual,min,Sbtm,30.5462284088135
174,HEB,NA,present,annual,min,Sbtm,30.6008319854736
175,L3F,NA,present,annual,min,Sbtm,30.2231864929199
176,SAM,NA,present,annual,min,Sbtm,30.346399307251
177,MASS,NA,present,annual,min,Sbtm,30.5537624359131
178,PORT,NA,present,annual,min,Sbtm,30.339225769043
179,POK,NA,present,annual,min,Sbtm,26.4782657623291
180,POUL,NA,present,annual,min,Sbtm,29.5767917633057
181,NRIV,NA,present,annual,min,Sbtm,28.1663665771484
182,BUCK,NA,present,annual,min,Sbtm,30.4780731201172
183,PETITE,NA,present,annual,min,Sbtm,28.2041816711426
184,RIM,NA,present,annual,min,Sbtm,31.8850479125977
185,SEPT,NA,present,annual,min,Sbtm,22.9608783721924
186,CH33,NA,present,annual,min,Sbtm,13.9747495651245
187,CH38,NA,present,annual,min,Sbtm,10.4836854934692
188,MELM,NA,present,annual,min,Sbtm,25.5724182128906
189,GreatBay,NA,present,annual,min,Sbtm,31.1679878234863
190,SUM,NA,present,annual,min,SSS,25.4881153106689
191,TH,NA,present,annual,min,SSS,29.6981239318848
192,MASI,NA,present,annual,min,SSS,30.2744579315186
193,SAC,NA,present,annual,min,SSS,30.2445278167725
194,PRJ,NA,present,annual,min,SSS,30.2888946533203
195,HEB,NA,present,annual,min,SSS,30.3077697753906
196,L3F,NA,present,annual,min,SSS,29.9590282440186
197,SAM,NA,present,annual,min,SSS,29.8972473144531
