,Code,rcp,period,season,variable,parameter,value
1481,POK,RCP45,2055,annual,mean,SST,7.06328845024109
1482,POUL,RCP45,2055,annual,mean,SST,7.81827598810196
1483,NRIV,RCP45,2055,annual,mean,SST,7.82971316576004
1484,BUCK,RCP45,2055,annual,mean,SST,5.90252637863159
1485,PETITE,RCP45,2055,annual,mean,SST,7.34458500146866
1486,RIM,RCP45,2055,annual,mean,SST,6.25945216417313
1487,SEPT,RCP45,2055,annual,mean,SST,5.37736129760742
1488,CH33,RCP45,2055,annual,mean,SST,4.14247584342957
1489,CH38,RCP45,2055,annual,mean,SST,4.48533260822296
1490,MELM,RCP45,2055,annual,mean,SST,8.92956036329269
1491,GreatBay,RCP45,2055,annual,mean,SST,9.55002075433731
1492,SUM,RCP45,2055,annual,mean,Tbtm,9.00612872838974
1493,TH,RCP45,2055,annual,mean,Tbtm,6.60253536701202
1494,MASI,RCP45,2055,annual,mean,Tbtm,8.50256848335266
1495,SAC,RCP45,2055,annual,mean,Tbtm,8.46748238801956
1496,PRJ,RCP45,2055,annual,mean,Tbtm,6.11192220449448
1497,HEB,RCP45,2055,annual,mean,Tbtm,6.11112463474274
1498,L3F,RCP45,2055,annual,mean,Tbtm,6.07171815633774
1499,SAM,RCP45,2055,annual,mean,Tbtm,4.78410279750824
1500,MASS,RCP45,2055,annual,mean,Tbtm,8.16875797510147
1501,PORT,RCP45,2055,annual,mean,Tbtm,8.17606514692307
1502,POK,RCP45,2055,annual,mean,Tbtm,6.97039186954498
1503,POUL,RCP45,2055,annual,mean,Tbtm,5.97697299718857
1504,NRIV,RCP45,2055,annual,mean,Tbtm,7.77162730693817
1505,BUCK,RCP45,2055,annual,mean,Tbtm,5.91409730911255
1506,PETITE,RCP45,2055,annual,mean,Tbtm,7.02102762460709
1507,RIM,RCP45,2055,annual,mean,Tbtm,4.02409040927887
1508,SEPT,RCP45,2055,annual,mean,Tbtm,4.87030297517776
1509,CH33,RCP45,2055,annual,mean,Tbtm,4.21483999490738
1510,CH38,RCP45,2055,annual,mean,Tbtm,4.66371023654938
1511,MELM,RCP45,2055,annual,mean,Tbtm,8.9506299495697
1512,GreatBay,RCP45,2055,annual,mean,Tbtm,6.53502058982849
1513,SUM,RCP85,2055,annual,mean,Sbtm,25.6402469277382
1514,TH,RCP85,2055,annual,mean,Sbtm,29.9735530912876
1515,MASI,RCP85,2055,annual,mean,Sbtm,30.1744465529919
1516,SAC,RCP85,2055,annual,mean,Sbtm,30.1707872748375
1517,PRJ,RCP85,2055,annual,mean,Sbtm,30.5247803032398
1518,HEB,RCP85,2055,annual,mean,Sbtm,30.5350847840309
1519,L3F,RCP85,2055,annual,mean,Sbtm,30.279526412487
1520,SAM,RCP85,2055,annual,mean,Sbtm,30.7774134576321
1521,MASS,RCP85,2055,annual,mean,Sbtm,30.5920795500278
1522,PORT,RCP85,2055,annual,mean,Sbtm,30.6580563783646
1523,POK,RCP85,2055,annual,mean,Sbtm,27.4839259386063
1524,POUL,RCP85,2055,annual,mean,Sbtm,29.7846405208111
1525,NRIV,RCP85,2055,annual,mean,Sbtm,28.4814316630363
1526,BUCK,RCP85,2055,annual,mean,Sbtm,30.6302704811096
1527,PETITE,RCP85,2055,annual,mean,Sbtm,29.0783621072769
1528,RIM,RCP85,2055,annual,mean,Sbtm,32.3817705363035
1529,SEPT,RCP85,2055,annual,mean,Sbtm,28.098657399416
1530,CH33,RCP85,2055,annual,mean,Sbtm,16.9965097308159
1531,CH38,RCP85,2055,annual,mean,Sbtm,13.8771186470985
1532,MELM,RCP85,2055,annual,mean,Sbtm,25.8104947805405
1533,GreatBay,RCP85,2055,annual,mean,Sbtm,31.2861530333757
1534,SUM,RCP85,2055,annual,mean,SSS,25.6267148852348
1535,TH,RCP85,2055,annual,mean,SSS,29.7586331367493
1536,MASI,RCP85,2055,annual,mean,SSS,30.1688638329506
1537,SAC,RCP85,2055,annual,mean,SSS,30.1472043395042
1538,PRJ,RCP85,2055,annual,mean,SSS,30.2626426517963
1539,HEB,RCP85,2055,annual,mean,SSS,30.260407269001
1540,L3F,RCP85,2055,annual,mean,SSS,29.9843288660049
1541,SAM,RCP85,2055,annual,mean,SSS,30.0030006766319
1542,MASS,RCP85,2055,annual,mean,SSS,29.784898430109
1543,PORT,RCP85,2055,annual,mean,SSS,30.4446994662285
1544,POK,RCP85,2055,annual,mean,SSS,27.2886835336685
1545,POUL,RCP85,2055,annual,mean,SSS,29.3370287716389
1546,NRIV,RCP85,2055,annual,mean,SSS,28.4398542642593
1547,BUCK,RCP85,2055,annual,mean,SSS,30.6204418540001
1548,PETITE,RCP85,2055,annual,mean,SSS,29.020632058382
1549,RIM,RCP85,2055,annual,mean,SSS,22.5485451221466
1550,SEPT,RCP85,2055,annual,mean,SSS,25.8611463904381
1551,CH33,RCP85,2055,annual,mean,SSS,16.7881603240967
1552,CH38,RCP85,2055,annual,mean,SSS,13.4884504079819
1553,MELM,RCP85,2055,annual,mean,SSS,25.7927500605583
1554,GreatBay,RCP85,2055,annual,mean,SSS,30.2806244790554
1555,SUM,RCP85,2055,annual,mean,SST,9.23544263839722
1556,TH,RCP85,2055,annual,mean,SST,8.0031191110611
1557,MASI,RCP85,2055,annual,mean,SST,8.88574755191803
1558,SAC,RCP85,2055,annual,mean,SST,9.04570329189301
1559,PRJ,RCP85,2055,annual,mean,SST,8.67752003669739
1560,HEB,RCP85,2055,annual,mean,SST,8.91773152351379
1561,L3F,RCP85,2055,annual,mean,SST,8.09102523326874
1562,SAM,RCP85,2055,annual,mean,SST,8.5739426612854
1563,MASS,RCP85,2055,annual,mean,SST,10.5089013576508
1564,PORT,RCP85,2055,annual,mean,SST,9.25127756595612
1565,POK,RCP85,2055,annual,mean,SST,7.29793792963028
1566,POUL,RCP85,2055,annual,mean,SST,8.11550760269165
1567,NRIV,RCP85,2055,annual,mean,SST,8.12894356250763
1568,BUCK,RCP85,2055,annual,mean,SST,6.13533502817154
1569,PETITE,RCP85,2055,annual,mean,SST,7.62705528736115
1570,RIM,RCP85,2055,annual,mean,SST,6.52234452962875
1571,SEPT,RCP85,2055,annual,mean,SST,5.73414468765259
1572,CH33,RCP85,2055,annual,mean,SST,4.32384610176086
1573,CH38,RCP85,2055,annual,mean,SST,4.66961097717285
1574,MELM,RCP85,2055,annual,mean,SST,9.2263365983963
1575,GreatBay,RCP85,2055,annual,mean,SST,9.9247533082962
1576,SUM,RCP85,2055,annual,mean,Tbtm,9.28382420539856
1577,TH,RCP85,2055,annual,mean,Tbtm,6.89891672134399
1578,MASI,RCP85,2055,annual,mean,Tbtm,8.81516087055206
1579,SAC,RCP85,2055,annual,mean,Tbtm,8.77275788784027
1580,PRJ,RCP85,2055,annual,mean,Tbtm,6.42135441303253
1581,HEB,RCP85,2055,annual,mean,Tbtm,6.42325615882874
1582,L3F,RCP85,2055,annual,mean,Tbtm,6.36306858062744
1583,SAM,RCP85,2055,annual,mean,Tbtm,5.0786948800087
1584,MASS,RCP85,2055,annual,mean,Tbtm,8.55361938476562
1585,PORT,RCP85,2055,annual,mean,Tbtm,8.5899316072464
1586,POK,RCP85,2055,annual,mean,Tbtm,7.19944387674332
1587,POUL,RCP85,2055,annual,mean,Tbtm,6.25133097171783
1588,NRIV,RCP85,2055,annual,mean,Tbtm,8.06238126754761
1589,BUCK,RCP85,2055,annual,mean,Tbtm,6.15339195728302
1590,PETITE,RCP85,2055,annual,mean,Tbtm,7.28330147266388
1591,RIM,RCP85,2055,annual,mean,Tbtm,4.33055657148361
1592,SEPT,RCP85,2055,annual,mean,Tbtm,5.22497379779816
1593,CH33,RCP85,2055,annual,mean,Tbtm,4.41364455223083
1594,CH38,RCP85,2055,annual,mean,Tbtm,4.85676497220993
1595,MELM,RCP85,2055,annual,mean,Tbtm,9.23935616016388
1596,GreatBay,RCP85,2055,annual,mean,Tbtm,6.93234181404114
1597,SUM,RCP45,2055,annual,min,Sbtm,23.9752982854843
1598,TH,RCP45,2055,annual,min,Sbtm,29.4197135865688
1599,MASI,RCP45,2055,annual,min,Sbtm,29.8292697966099
1600,SAC,RCP45,2055,annual,min,Sbtm,29.8093345761299
1601,PRJ,RCP45,2055,annual,min,Sbtm,30.1545589566231
1602,HEB,RCP45,2055,annual,min,Sbtm,30.2147495150566
1603,L3F,RCP45,2055,annual,min,Sbtm,29.8208438754082
1604,SAM,RCP45,2055,annual,min,Sbtm,29.950692743063
1605,MASS,RCP45,2055,annual,min,Sbtm,30.1655269563198
1606,PORT,RCP45,2055,annual,min,Sbtm,29.9230190217495
1607,POK,RCP45,2055,annual,min,Sbtm,25.5922420620918
1608,POUL,RCP45,2055,annual,min,Sbtm,29.1587978303432
1609,NRIV,RCP45,2055,annual,min,Sbtm,27.5078254938126
1610,BUCK,RCP45,2055,annual,min,Sbtm,29.2689406871796
1611,PETITE,RCP45,2055,annual,min,Sbtm,27.3104484677315
1612,RIM,RCP45,2055,annual,min,Sbtm,31.3790680170059
1613,SEPT,RCP45,2055,annual,min,Sbtm,22.0947216153145
1614,CH33,RCP45,2055,annual,min,Sbtm,12.7738320827484
1615,CH38,RCP45,2055,annual,min,Sbtm,9.09147989749908
1616,MELM,RCP45,2055,annual,min,Sbtm,24.4226611852646
1617,GreatBay,RCP45,2055,annual,min,Sbtm,30.8502952456474
1618,SUM,RCP45,2055,annual,min,SSS,24.008487701416
1619,TH,RCP45,2055,annual,min,SSS,29.2400905489922
1620,MASI,RCP45,2055,annual,min,SSS,29.814405053854
1621,SAC,RCP45,2055,annual,min,SSS,29.7761074006557
1622,PRJ,RCP45,2055,annual,min,SSS,29.8250686526299
1623,HEB,RCP45,2055,annual,min,SSS,29.8429405093193
1624,L3F,RCP45,2055,annual,min,SSS,29.4994648098946
1625,SAM,RCP45,2055,annual,min,SSS,29.4287727475166
1626,MASS,RCP45,2055,annual,min,SSS,28.7509945034981
1627,PORT,RCP45,2055,annual,min,SSS,29.4512016177177
1628,POK,RCP45,2055,annual,min,SSS,25.3227580785751
1629,POUL,RCP45,2055,annual,min,SSS,28.6119926571846
1630,NRIV,RCP45,2055,annual,min,SSS,27.4863025546074
1631,BUCK,RCP45,2055,annual,min,SSS,29.2661678791046
1632,PETITE,RCP45,2055,annual,min,SSS,27.2747577428818
1633,RIM,RCP45,2055,annual,min,SSS,17.88645362854
1634,SEPT,RCP45,2055,annual,min,SSS,20.1079037189484
1635,CH33,RCP45,2055,annual,min,SSS,12.4642837047577
1636,CH38,RCP45,2055,annual,min,SSS,8.42661023139954
1637,MELM,RCP45,2055,annual,min,SSS,24.4300231933594
1638,GreatBay,RCP45,2055,annual,min,SSS,29.4914234280586
1639,SUM,RCP45,2055,annual,min,SST,-1.50643694400787
1640,TH,RCP45,2055,annual,min,SST,0.595580220222473
1641,MASI,RCP45,2055,annual,min,SST,0.983732104301453
1642,SAC,RCP45,2055,annual,min,SST,0.863379418849945
1643,PRJ,RCP45,2055,annual,min,SST,1.85086116194725
1644,HEB,RCP45,2055,annual,min,SST,1.97095346450806
1645,L3F,RCP45,2055,annual,min,SST,0.952574372291565
1646,SAM,RCP45,2055,annual,min,SST,1.01801499724388
1647,MASS,RCP45,2055,annual,min,SST,2.37667763233185
1648,PORT,RCP45,2055,annual,min,SST,2.04991602897644
1649,POK,RCP45,2055,annual,min,SST,-1.57101218774915
1650,POUL,RCP45,2055,annual,min,SST,-0.17206871509552
1651,NRIV,RCP45,2055,annual,min,SST,-1.02995139360428
1652,BUCK,RCP45,2055,annual,min,SST,-1.61439037322998
1653,PETITE,RCP45,2055,annual,min,SST,-1.52109292149544
1654,RIM,RCP45,2055,annual,min,SST,-1.36363635025918
1655,SEPT,RCP45,2055,annual,min,SST,-1.11570515483618
1656,CH33,RCP45,2055,annual,min,SST,-1.18694634363055
1657,CH38,RCP45,2055,annual,min,SST,-1.06129801273346
1658,MELM,RCP45,2055,annual,min,SST,-1.36656944826245
1659,GreatBay,RCP45,2055,annual,min,SST,2.65233761072159
1660,SUM,RCP45,2055,annual,min,Tbtm,-1.45586729049683
1661,TH,RCP45,2055,annual,min,Tbtm,0.632533101597801
1662,MASI,RCP45,2055,annual,min,Tbtm,1.01335382461548
1663,SAC,RCP45,2055,annual,min,Tbtm,0.895695924758911
1664,PRJ,RCP45,2055,annual,min,Tbtm,1.68594247102737
1665,HEB,RCP45,2055,annual,min,Tbtm,1.76673138141632
1666,L3F,RCP45,2055,annual,min,Tbtm,0.895020127296448
1667,SAM,RCP45,2055,annual,min,Tbtm,0.69153493642807
1668,MASS,RCP45,2055,annual,min,Tbtm,2.67178553342819
1669,PORT,RCP45,2055,annual,min,Tbtm,2.18417483568192
1670,POK,RCP45,2055,annual,min,Tbtm,-1.28800098598003
1671,POUL,RCP45,2055,annual,min,Tbtm,-0.180676937103271
1672,NRIV,RCP45,2055,annual,min,Tbtm,-0.888220131397247
1673,BUCK,RCP45,2055,annual,min,Tbtm,-1.54729115962982
1674,PETITE,RCP45,2055,annual,min,Tbtm,-1.47705106437206
1675,RIM,RCP45,2055,annual,min,Tbtm,3.17217093706131
1676,SEPT,RCP45,2055,annual,min,Tbtm,-0.289542235434055
1677,CH33,RCP45,2055,annual,min,Tbtm,-1.14758787117898
1678,CH38,RCP45,2055,annual,min,Tbtm,-1.00620198249817
1679,MELM,RCP45,2055,annual,min,Tbtm,-1.33067257329822
1680,GreatBay,RCP45,2055,annual,min,Tbtm,3.05945950746536
1681,SUM,RCP85,2055,annual,min,Sbtm,23.8122752904892
1682,TH,RCP85,2055,annual,min,Sbtm,29.3360344171524
1683,MASI,RCP85,2055,annual,min,Sbtm,29.7706119418144
1684,SAC,RCP85,2055,annual,min,Sbtm,29.7494903802872
1685,PRJ,RCP85,2055,annual,min,Sbtm,30.1002433896065
1686,HEB,RCP85,2055,annual,min,Sbtm,30.1644050478935
1687,L3F,RCP85,2055,annual,min,Sbtm,29.7230522036552
1688,SAM,RCP85,2055,annual,min,Sbtm,29.8787941038609
1689,MASS,RCP85,2055,annual,min,Sbtm,30.2027633786201
1690,PORT,RCP85,2055,annual,min,Sbtm,29.9469299316406
1691,POK,RCP85,2055,annual,min,Sbtm,25.3993427753448
1692,POUL,RCP85,2055,annual,min,Sbtm,29.0890254974365
1693,NRIV,RCP85,2055,annual,min,Sbtm,27.4969272613525
1694,BUCK,RCP85,2055,annual,min,Sbtm,29.0307983160019
1695,PETITE,RCP85,2055,annual,min,Sbtm,27.3664466738701
1696,RIM,RCP85,2055,annual,min,Sbtm,31.3725784420967
1697,SEPT,RCP85,2055,annual,min,Sbtm,21.7953552007675
1698,CH33,RCP85,2055,annual,min,Sbtm,12.4361703395844
1699,CH38,RCP85,2055,annual,min,Sbtm,8.70424389839172
1700,MELM,RCP85,2055,annual,min,Sbtm,24.4926650524139
1701,GreatBay,RCP85,2055,annual,min,Sbtm,30.8703128695488
1702,SUM,RCP85,2055,annual,min,SSS,23.8593628406525
1703,TH,RCP85,2055,annual,min,SSS,29.1468261480331
1704,MASI,RCP85,2055,annual,min,SSS,29.757836163044
1705,SAC,RCP85,2055,annual,min,SSS,29.7217361330986
1706,PRJ,RCP85,2055,annual,min,SSS,29.7699890136719
1707,HEB,RCP85,2055,annual,min,SSS,29.7903060913086
1708,L3F,RCP85,2055,annual,min,SSS,29.4164993166924
1709,SAM,RCP85,2055,annual,min,SSS,29.3582572937012
1710,MASS,RCP85,2055,annual,min,SSS,28.7637119293213
1711,PORT,RCP85,2055,annual,min,SSS,29.4387344419956
1712,POK,RCP85,2055,annual,min,SSS,25.1090919971466
1713,POUL,RCP85,2055,annual,min,SSS,28.5106391906738
1714,NRIV,RCP85,2055,annual,min,SSS,27.4916515350342
1715,BUCK,RCP85,2055,annual,min,SSS,29.0233428478241
1716,PETITE,RCP85,2055,annual,min,SSS,27.346622467041
1717,RIM,RCP85,2055,annual,min,SSS,17.571076631546
1718,SEPT,RCP85,2055,annual,min,SSS,19.9528144598007
1719,CH33,RCP85,2055,annual,min,SSS,12.1197814941406
1720,CH38,RCP85,2055,annual,min,SSS,8.22210025787354
1721,MELM,RCP85,2055,annual,min,SSS,24.4998385906219
1722,GreatBay,RCP85,2055,annual,min,SSS,29.5228714048862
1723,SUM,RCP85,2055,annual,min,SST,-1.48973944038153
1724,TH,RCP85,2055,annual,min,SST,0.837982296943665
1725,MASI,RCP85,2055,annual,min,SST,1.19783043861389
1726,SAC,RCP85,2055,annual,min,SST,1.08762395381927
1727,PRJ,RCP85,2055,annual,min,SST,2.14816647768021
1728,HEB,RCP85,2055,annual,min,SST,2.2416325211525
1729,L3F,RCP85,2055,annual,min,SST,1.22473108768463
1730,SAM,RCP85,2055,annual,min,SST,1.31539598107338
1731,MASS,RCP85,2055,annual,min,SST,2.73965740203857
1732,PORT,RCP85,2055,annual,min,SST,2.46881461143494
1733,POK,RCP85,2055,annual,min,SST,-1.560412786901
1734,POUL,RCP85,2055,annual,min,SST,0.121374189853668
1735,NRIV,RCP85,2055,annual,min,SST,-0.743137061595917
1736,BUCK,RCP85,2055,annual,min,SST,-1.59436895698309
1737,PETITE,RCP85,2055,annual,min,SST,-1.41475674510002
1738,RIM,RCP85,2055,annual,min,SST,-1.35129954852164
1739,SEPT,RCP85,2055,annual,min,SST,-0.990919202566147
1740,CH33,RCP85,2055,annual,min,SST,-1.18270342424512
1741,CH38,RCP85,2055,annual,min,SST,-1.0508265607059
1742,MELM,RCP85,2055,annual,min,SST,-1.35058810561895
1743,GreatBay,RCP85,2055,annual,min,SST,3.17652904987335
1744,SUM,RCP85,2055,annual,min,Tbtm,-1.43904928863049
1745,TH,RCP85,2055,annual,min,Tbtm,0.877630798378959
1746,MASI,RCP85,2055,annual,min,Tbtm,1.21361041069031
1747,SAC,RCP85,2055,annual,min,Tbtm,1.04175531864166
1748,PRJ,RCP85,2055,annual,min,Tbtm,1.94125348329544
1749,HEB,RCP85,2055,annual,min,Tbtm,2.01742219924927
1750,L3F,RCP85,2055,annual,min,Tbtm,0.985212862491608
1751,SAM,RCP85,2055,annual,min,Tbtm,0.989098012447357
1752,MASS,RCP85,2055,annual,min,Tbtm,3.16732084751129
1753,PORT,RCP85,2055,annual,min,Tbtm,2.65589416027069
1754,POK,RCP85,2055,annual,min,Tbtm,-1.25694033503532
1755,POUL,RCP85,2055,annual,min,Tbtm,0.0235522389411926
1756,NRIV,RCP85,2055,annual,min,Tbtm,-0.636958718299866
1757,BUCK,RCP85,2055,annual,min,Tbtm,-1.50876875221729
1758,PETITE,RCP85,2055,annual,min,Tbtm,-1.3664088845253
1759,RIM,RCP85,2055,annual,min,Tbtm,3.44862377643585
1760,SEPT,RCP85,2055,annual,min,Tbtm,-0.162369728088379
1761,CH33,RCP85,2055,annual,min,Tbtm,-1.13957884162664
1762,CH38,RCP85,2055,annual,min,Tbtm,-0.990456651896238
1763,MELM,RCP85,2055,annual,min,Tbtm,-1.31282997131348
1764,GreatBay,RCP85,2055,annual,min,Tbtm,3.76869606971741
1765,SUM,RCP45,2055,fall,max,Sbtm,25.7040706574917
1766,TH,RCP45,2055,fall,max,Sbtm,29.733374029398
1767,MASI,RCP45,2055,fall,max,Sbtm,30.1468391418457
1768,SAC,RCP45,2055,fall,max,Sbtm,30.1319145262241
1769,PRJ,RCP45,2055,fall,max,Sbtm,30.7846866622567
1770,HEB,RCP45,2055,fall,max,Sbtm,30.6763046234846
1771,L3F,RCP45,2055,fall,max,Sbtm,30.2874977141619
1772,SAM,RCP45,2055,fall,max,Sbtm,31.4945720657706
1773,MASS,RCP45,2055,fall,max,Sbtm,30.7355507016182
1774,PORT,RCP45,2055,fall,max,Sbtm,31.0361461639404
1775,POK,RCP45,2055,fall,max,Sbtm,27.9610145688057
1776,POUL,RCP45,2055,fall,max,Sbtm,29.4110740721226
1777,NRIV,RCP45,2055,fall,max,Sbtm,28.2498435974121
1778,BUCK,RCP45,2055,fall,max,Sbtm,30.4556449949741
1779,PETITE,RCP45,2055,fall,max,Sbtm,29.0528125762939
1780,RIM,RCP45,2055,fall,max,Sbtm,33.0011039748788
1781,SEPT,RCP45,2055,fall,max,Sbtm,30.3228977173567
1782,CH33,RCP45,2055,fall,max,Sbtm,17.896035015583
1783,CH38,RCP45,2055,fall,max,Sbtm,15.2538347244263
1784,MELM,RCP45,2055,fall,max,Sbtm,26.4258278012276
1785,GreatBay,RCP45,2055,fall,max,Sbtm,31.5145267471671
1786,SUM,RCP45,2055,fall,max,SSS,25.7043830752373
1787,TH,RCP45,2055,fall,max,SSS,29.6403381228447
1788,MASI,RCP45,2055,fall,max,SSS,30.1454940736294
1789,SAC,RCP45,2055,fall,max,SSS,30.1279033720493
1790,PRJ,RCP45,2055,fall,max,SSS,30.3875961303711
1791,HEB,RCP45,2055,fall,max,SSS,30.3661636337638
1792,L3F,RCP45,2055,fall,max,SSS,29.9470951110125
1793,SAM,RCP45,2055,fall,max,SSS,29.9927043914795
1794,MASS,RCP45,2055,fall,max,SSS,30.4065975248814
1795,PORT,RCP45,2055,fall,max,SSS,31.0109348297119
1796,POK,RCP45,2055,fall,max,SSS,27.9049827456474
1797,POUL,RCP45,2055,fall,max,SSS,29.1201709806919
1798,NRIV,RCP45,2055,fall,max,SSS,28.2531120181084
1799,BUCK,RCP45,2055,fall,max,SSS,30.4595066010952
1800,PETITE,RCP45,2055,fall,max,SSS,29.0492412447929
1801,RIM,RCP45,2055,fall,max,SSS,26.5545226931572
1802,SEPT,RCP45,2055,fall,max,SSS,29.3304714262486
1803,CH33,RCP45,2055,fall,max,SSS,17.7788985967636
1804,CH38,RCP45,2055,fall,max,SSS,14.7630172967911
1805,MELM,RCP45,2055,fall,max,SSS,26.4147930145264
1806,GreatBay,RCP45,2055,fall,max,SSS,30.7066013216972
1807,SUM,RCP45,2055,fall,max,SST,12.3009281158447
1808,TH,RCP45,2055,fall,max,SST,13.0147000551224
1809,MASI,RCP45,2055,fall,max,SST,12.9339321255684
1810,SAC,RCP45,2055,fall,max,SST,13.0522972345352
1811,PRJ,RCP45,2055,fall,max,SST,13.0425756573677
1812,HEB,RCP45,2055,fall,max,SST,13.089202105999
1813,L3F,RCP45,2055,fall,max,SST,12.7743315696716
1814,SAM,RCP45,2055,fall,max,SST,13.1749935150146
1815,MASS,RCP45,2055,fall,max,SST,14.3237407803535
1816,PORT,RCP45,2055,fall,max,SST,12.1031014323235
1817,POK,RCP45,2055,fall,max,SST,11.3251394033432
1818,POUL,RCP45,2055,fall,max,SST,13.1304500699043
1819,NRIV,RCP45,2055,fall,max,SST,12.9544035792351
1820,BUCK,RCP45,2055,fall,max,SST,9.29339742660522
1821,PETITE,RCP45,2055,fall,max,SST,11.8465310335159
1822,RIM,RCP45,2055,fall,max,SST,9.22482866048813
1823,SEPT,RCP45,2055,fall,max,SST,7.08687281608582
1824,CH33,RCP45,2055,fall,max,SST,6.24637818336487
1825,CH38,RCP45,2055,fall,max,SST,6.34621059894562
1826,MELM,RCP45,2055,fall,max,SST,13.3445907235146
1827,GreatBay,RCP45,2055,fall,max,SST,13.1923116445541
1828,SUM,RCP45,2055,fall,max,Tbtm,12.3308733701706
1829,TH,RCP45,2055,fall,max,Tbtm,12.4817687869072
1830,MASI,RCP45,2055,fall,max,Tbtm,12.9238842725754
1831,SAC,RCP45,2055,fall,max,Tbtm,13.0382855534554
1832,PRJ,RCP45,2055,fall,max,Tbtm,11.4532279968262
1833,HEB,RCP45,2055,fall,max,Tbtm,11.1048563122749
1834,L3F,RCP45,2055,fall,max,Tbtm,11.5960427522659
1835,SAM,RCP45,2055,fall,max,Tbtm,10.8039610981941
1836,MASS,RCP45,2055,fall,max,Tbtm,13.6004172563553
1837,PORT,RCP45,2055,fall,max,Tbtm,12.0634997487068
1838,POK,RCP45,2055,fall,max,Tbtm,11.4104047417641
1839,POUL,RCP45,2055,fall,max,Tbtm,11.9949296712875
1840,NRIV,RCP45,2055,fall,max,Tbtm,12.9594570398331
1841,BUCK,RCP45,2055,fall,max,Tbtm,9.29395478963852
1842,PETITE,RCP45,2055,fall,max,Tbtm,11.86880838871
1843,RIM,RCP45,2055,fall,max,Tbtm,4.53857696056366
1844,SEPT,RCP45,2055,fall,max,Tbtm,7.25681698322296
1845,CH33,RCP45,2055,fall,max,Tbtm,6.31197583675385
1846,CH38,RCP45,2055,fall,max,Tbtm,6.531942486763
1847,MELM,RCP45,2055,fall,max,Tbtm,13.3608357310295
1848,GreatBay,RCP45,2055,fall,max,Tbtm,9.39183235168457
1849,SUM,RCP85,2055,fall,max,Sbtm,25.5960899293423
1850,TH,RCP85,2055,fall,max,Sbtm,29.7092838287354
1851,MASI,RCP85,2055,fall,max,Sbtm,30.1113689541817
1852,SAC,RCP85,2055,fall,max,Sbtm,30.0963436067104
1853,PRJ,RCP85,2055,fall,max,Sbtm,30.7533359527588
1854,HEB,RCP85,2055,fall,max,Sbtm,30.6473735868931
1855,L3F,RCP85,2055,fall,max,Sbtm,30.2659946382046
1856,SAM,RCP85,2055,fall,max,Sbtm,31.4732265472412
1857,MASS,RCP85,2055,fall,max,Sbtm,30.7546684294939
1858,PORT,RCP85,2055,fall,max,Sbtm,31.0586761534214
1859,POK,RCP85,2055,fall,max,Sbtm,27.9663932919502
1860,POUL,RCP85,2055,fall,max,Sbtm,29.3883891999722
1861,NRIV,RCP85,2055,fall,max,Sbtm,28.0773864686489
1862,BUCK,RCP85,2055,fall,max,Sbtm,30.5099376738071
1863,PETITE,RCP85,2055,fall,max,Sbtm,28.9758354127407
1864,RIM,RCP85,2055,fall,max,Sbtm,33.0351264961064
1865,SEPT,RCP85,2055,fall,max,Sbtm,30.360930249095
1866,CH33,RCP85,2055,fall,max,Sbtm,17.8057205080986
1867,CH38,RCP85,2055,fall,max,Sbtm,15.0996137857437
1868,MELM,RCP85,2055,fall,max,Sbtm,26.3216777741909
1869,GreatBay,RCP85,2055,fall,max,Sbtm,31.5547275543213
1870,SUM,RCP85,2055,fall,max,SSS,25.5960517823696
1871,TH,RCP85,2055,fall,max,SSS,29.6130169034004
1872,MASI,RCP85,2055,fall,max,SSS,30.1100681424141
1873,SAC,RCP85,2055,fall,max,SSS,30.0943668484688
1874,PRJ,RCP85,2055,fall,max,SSS,30.3738147765398
1875,HEB,RCP85,2055,fall,max,SSS,30.3782676681876
1876,L3F,RCP85,2055,fall,max,SSS,29.9325683563948
1877,SAM,RCP85,2055,fall,max,SSS,29.8990661501884
1878,MASS,RCP85,2055,fall,max,SSS,30.4450702667236
1879,PORT,RCP85,2055,fall,max,SSS,31.0343833863735
1880,POK,RCP85,2055,fall,max,SSS,27.9136417508125
1881,POUL,RCP85,2055,fall,max,SSS,29.0981574952602
1882,NRIV,RCP85,2055,fall,max,SSS,28.0807037353516
1883,BUCK,RCP85,2055,fall,max,SSS,30.5139476656914
1884,PETITE,RCP85,2055,fall,max,SSS,28.9668407440186
1885,RIM,RCP85,2055,fall,max,SSS,26.4394367337227
1886,SEPT,RCP85,2055,fall,max,SSS,29.3859668672085
1887,CH33,RCP85,2055,fall,max,SSS,17.6908859014511
1888,CH38,RCP85,2055,fall,max,SSS,14.6079820394516
1889,MELM,RCP85,2055,fall,max,SSS,26.3106952607632
1890,GreatBay,RCP85,2055,fall,max,SSS,30.7467266023159
1891,SUM,RCP85,2055,fall,max,SST,12.6045229434967
1892,TH,RCP85,2055,fall,max,SST,13.3391243219376
1893,MASI,RCP85,2055,fall,max,SST,13.2958716154099
1894,SAC,RCP85,2055,fall,max,SST,13.4138597249985
1895,PRJ,RCP85,2055,fall,max,SST,13.4677445888519
1896,HEB,RCP85,2055,fall,max,SST,13.5046985149384
1897,L3F,RCP85,2055,fall,max,SST,13.1299701929092
1898,SAM,RCP85,2055,fall,max,SST,13.5462958812714
1899,MASS,RCP85,2055,fall,max,SST,14.7520018815994
