Site,RCP,TBTM_WinterMin,SST_WinterMin,SBTM_AnnMean,SSS_AnnMean,SST_SpringMean,SST_SummerMax,TBTM_FallMin
MASI,Present,0.346203923225403,0.316773474216461,30.5444355010986,30.5408535003662,7.28759527206421,14.9292430877686,4.92150449752808
SAC,Present,0.249839067459106,0.196270704269409,30.5400829315186,30.5239315032959,7.4638524055481,15.4414653778076,4.82715559005737
L3F,Present,0.365333020687103,0.307844936847687,30.6072578430176,30.3476066589355,5.0818190574646,14.3327207565308,5.37588691711426
SUM,Present,-1.52263927459717,-1.5481014251709,26.4871559143066,26.4638233184814,8.71346187591553,20.6781215667725,0.157588511705399
POK,Present,-1.44083368778229,-1.61801052093506,28.0961208343506,27.9162254333496,5.20393991470337,17.2543087005615,1.28127801418304
PRJ,Present,1.384521484375,1.38154602050781,30.8394794464111,30.6115055084229,6.08944416046143,14.2848148345947,6.18624448776245
SAM,Present,0.507017076015472,0.397506982088089,31.0458927154541,30.3738651275635,5.53656005859375,15.016996383667,5.40491628646851
NAH,Present,2.14079666137695,1.70122122764587,30.8703002929688,30.1378879547119,8.74557876586914,17.7848567962646,6.68533086776733
RIM,Present,2.8063952922821,-1.37706851959229,32.5204582214355,23.3044528961182,4.86882877349854,15.65576171875,3.43001675605774
SEPT,Present,-0.329671859741211,-1.16246104240417,28.5232410430908,26.3999290466309,4.6330394744873,11.7648067474365,1.71267378330231
GRB,Present,2.54763317108154,2.01300311088562,31.4790439605713,30.6190071105957,7.8305401802063,16.0843467712402,6.57803106307983
HEB,Present,1.44756233692169,1.44763839244843,30.851541519165,30.6081066131592,6.44201517105103,14.3631219863892,6.20971822738647
PORT,Present,1.60055458545685,1.42142653465271,30.9465007781982,30.7578754425049,7.82517766952515,15.2000980377197,5.09631395339966
PETI,Present,-1.62625348567963,-1.65150272846222,29.5838108062744,29.4916152954102,4.8456335067749,17.1806297302246,1.84056460857391
NRIV,Present,-1.37539005279541,-1.46796226501465,28.9897956848145,28.9372272491455,4.97816801071167,17.8648090362549,3.34962487220764
POUL,Present,-0.667180716991425,-0.792965233325958,30.1189517974854,29.7513847351074,4.67365789413452,16.1682281494141,4.78327465057373
JB1,Present,-1.17336463928223,-1.20157849788666,17.7647190093994,17.5593242645264,1.47291600704193,13.5002813339233,-0.976286351680756
JB2,Present,-1.03966629505157,-1.08994483947754,14.7634286880493,14.3661184310913,1.91595876216888,14.1064310073853,-0.831953465938568
BUCK,Present,-1.64838135242462,-1.6931791305542,31.2552623748779,31.2504062652588,5.29375886917114,14.7832431793213,0.11808206140995
MELM,Present,-1.39049565792084,-1.41277551651001,26.4598789215088,26.4341888427734,7.8128080368042,20.0481986999512,1.41806662082672
TAYH,Present,0.003265766659752,-0.069127917289734,30.3193130493164,30.1266307830811,4.92495059967041,14.7610206604004,5.09226512908936
MASI45,4.5,1.38091552257538,1.34885674715042,30.2655086815357,30.2598386704922,8.36757504940033,15.833709359169,5.77382880449295
SAC45,4.5,1.27977204322815,1.2241153717041,30.2615109980106,30.2380911707878,8.54396951198578,16.3212016820908,5.67731583118439
L3F45,4.5,1.43201798200607,1.34783798456192,30.3642009943724,30.0694897174835,6.19279277324677,15.3154590725899,6.15988177061081
SUM45,4.5,-1.45423464477062,-1.50640738010406,25.8569600582123,25.8435306549072,11.0001020431519,21.6140228509903,1.04158636927605
